,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components involved in human-computer interaction (HCI)?,0.5827
1,What is an interactive software system?,What are the primary components involved in human-computer interaction (HCI)?,0.4979
2,What is a complex interactive computer system?,What are the primary components involved in human-computer interaction (HCI)?,0.6262
3,What does make up the user interface of an interactive computer system?,What are the primary components involved in human-computer interaction (HCI)?,0.6441
4,What is a User?,How are user characteristics modeled in adaptive HCI systems?,0.384
5,How can a user interact in human–computer interactions?,How can a user’s physical and sensory abilities impact interaction with a computer system?,0.6852
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can a user’s physical and sensory abilities impact interaction with a computer system?,0.6117
7,Why does a user intentionally interact with an interactive computer system?,How can a user’s physical and sensory abilities impact interaction with a computer system?,0.6137
8,What does make up a complex user participation?,What are the primary components involved in human-computer interaction (HCI)?,0.4757
9,What is a human–computer interaction?,What are the primary components involved in human-computer interaction (HCI)?,0.7372
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can a user’s physical and sensory abilities impact interaction with a computer system?,0.4792
11,How is a user input processed by an interactive computer system?,How can a user’s physical and sensory abilities impact interaction with a computer system?,0.5629
12,How does a user receive an output from an interactive computer system?,How can a user’s physical and sensory abilities impact interaction with a computer system?,0.5017
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How can a user’s physical and sensory abilities impact interaction with a computer system?,0.5514
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can a user’s physical and sensory abilities impact interaction with a computer system?,0.4716
