,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of an interactive system in the context of HCI?,0.7566
1,What is an interactive software system?,What are the primary components of an interactive system in the context of HCI?,0.7025
2,What is a complex interactive computer system?,What are the primary components of an interactive system in the context of HCI?,0.7458
3,What does make up the user interface of an interactive computer system?,What are the primary components of an interactive system in the context of HCI?,0.7738
4,What is a User?,How do user characteristics influence the design of adaptive interfaces?,0.3252
5,How can a user interact in human–computer interactions?,What are the ways to introduce information in an interactive system?,0.5939
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the ways to introduce information in an interactive system?,0.6377
7,Why does a user intentionally interact with an interactive computer system?,What are the primary components of an interactive system in the context of HCI?,0.6167
8,What does make up a complex user participation?,What are the primary components of an interactive system in the context of HCI?,0.4595
9,What is a human–computer interaction?,What are the primary components of an interactive system in the context of HCI?,0.6353
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary components of an interactive system in the context of HCI?,0.3892
11,How is a user input processed by an interactive computer system?,What are the primary components of an interactive system in the context of HCI?,0.626
12,How does a user receive an output from an interactive computer system?,What are the ways to introduce information in an interactive system?,0.5561
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary components of an interactive system in the context of HCI?,0.6108
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary components of an interactive system in the context of HCI?,0.4137
