,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components involved in human-computer interaction?,0.6194
1,What is an interactive software system?,What are the primary components involved in human-computer interaction?,0.5135
2,What is a complex interactive computer system?,What are the primary components involved in human-computer interaction?,0.638
3,What does make up the user interface of an interactive computer system?,What are the primary components involved in human-computer interaction?,0.6724
4,What is a User?,What is the role of user profiles in adapting user interfaces within HCI?,0.3656
5,How can a user interact in human–computer interactions?,What are the primary components involved in human-computer interaction?,0.7153
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary components involved in human-computer interaction?,0.5414
7,Why does a user intentionally interact with an interactive computer system?,What are the primary components involved in human-computer interaction?,0.5325
8,What does make up a complex user participation?,What levels of user capacity are defined and how do they impact interaction modalities?,0.5084
9,What is a human–computer interaction?,What are the primary components involved in human-computer interaction?,0.753
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary components involved in human-computer interaction?,0.4868
11,How is a user input processed by an interactive computer system?,How are input and output interactions defined in the context of HCI?,0.5752
12,How does a user receive an output from an interactive computer system?,How are input and output interactions defined in the context of HCI?,0.5426
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How are input and output interactions defined in the context of HCI?,0.6316
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary components involved in human-computer interaction?,0.467
