,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How can user characteristics influence the design of interactive systems?,0.6717
1,What is an interactive software system?,How can user characteristics influence the design of interactive systems?,0.6409
2,What is a complex interactive computer system?,What are the primary components involved in human-computer interaction?,0.638
3,What does make up the user interface of an interactive computer system?,How can user characteristics influence the design of interactive systems?,0.7538
4,What is a User?,What are the object properties defining the relationships between user and system modalities?,0.4475
5,How can a user interact in human–computer interactions?,What are the primary components involved in human-computer interaction?,0.7153
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the different methods of introducing information to a user in an interactive system?,0.6496
7,Why does a user intentionally interact with an interactive computer system?,How can user characteristics influence the design of interactive systems?,0.7029
8,What does make up a complex user participation?,How can user characteristics influence the design of interactive systems?,0.5346
9,What is a human–computer interaction?,What are the primary components involved in human-computer interaction?,0.753
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can user characteristics influence the design of interactive systems?,0.5598
11,How is a user input processed by an interactive computer system?,What types of input and output modalities are considered in human-computer interaction?,0.6233
12,How does a user receive an output from an interactive computer system?,What are the different methods of introducing information to a user in an interactive system?,0.5779
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input and output modalities are considered in human-computer interaction?,0.6689
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can user characteristics influence the design of interactive systems?,0.474
