,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.5771
1,What is an interactive software system?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.5172
2,What is a complex interactive computer system?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.6448
3,What does make up the user interface of an interactive computer system?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.6457
4,What is a User?,How can user characteristics influence the adaptation of user interfaces?,0.3452
5,How can a user interact in human–computer interactions?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.6802
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary categories of user-system interaction events?,0.5167
7,Why does a user intentionally interact with an interactive computer system?,What are the primary categories of user-system interaction events?,0.5386
8,What does make up a complex user participation?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.4901
9,What is a human–computer interaction?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.7314
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary categories of user-system interaction events?,0.4436
11,How is a user input processed by an interactive computer system?,How are input and output mediums defined and related to interaction in HCI systems?,0.5364
12,How does a user receive an output from an interactive computer system?,How are input and output mediums defined and related to interaction in HCI systems?,0.5274
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How are input and output mediums defined and related to interaction in HCI systems?,0.6003
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main modes of interaction in Human-Computer Interaction (HCI)?,0.4439
