,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the essential elements of an adaptive interactive system in HCI?,0.6517
1,What is an interactive software system?,What are the essential elements of an adaptive interactive system in HCI?,0.6085
2,What is a complex interactive computer system?,What are the essential elements of an adaptive interactive system in HCI?,0.6604
3,What does make up the user interface of an interactive computer system?,How can a semantic representation of an interactive system enhance user interface adaptations in HCI?,0.6803
4,What is a User?,How does the ontology represent user characteristics and profiles in HCI?,0.4087
5,How can a user interact in human–computer interactions?,What inference rules can be applied to derive new information about user interaction in HCI?,0.5939
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can a semantic representation of an interactive system enhance user interface adaptations in HCI?,0.602
7,Why does a user intentionally interact with an interactive computer system?,How can a semantic representation of an interactive system enhance user interface adaptations in HCI?,0.5724
8,What does make up a complex user participation?,What inference rules can be applied to derive new information about user interaction in HCI?,0.4281
9,What is a human–computer interaction?,What are the essential elements of an adaptive interactive system in HCI?,0.5483
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What inference rules can be applied to derive new information about user interaction in HCI?,0.4566
11,How is a user input processed by an interactive computer system?,What are the essential elements of an adaptive interactive system in HCI?,0.5464
12,How does a user receive an output from an interactive computer system?,How can a semantic representation of an interactive system enhance user interface adaptations in HCI?,0.4632
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the essential elements of an adaptive interactive system in HCI?,0.5261
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What inference rules can be applied to derive new information about user interaction in HCI?,0.4566
