,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of an interactive system as defined in the HCI domain?,0.6946
1,What is an interactive software system?,What are the core components of an interactive system as defined in the HCI domain?,0.6448
2,What is a complex interactive computer system?,What are the core components of an interactive system as defined in the HCI domain?,0.7038
3,What does make up the user interface of an interactive computer system?,What are the core components of an interactive system as defined in the HCI domain?,0.7219
4,What is a User?,How can user profiles be modeled ontologically to support adaptive system designs?,0.3736
5,How can a user interact in human–computer interactions?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.6391
6,"Considering intentionality, how can a user interact with an interactive computer system?",What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.6018
7,Why does a user intentionally interact with an interactive computer system?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.6265
8,What does make up a complex user participation?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.4702
9,What is a human–computer interaction?,What are the core components of an interactive system as defined in the HCI domain?,0.5841
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.4634
11,How is a user input processed by an interactive computer system?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.5976
12,How does a user receive an output from an interactive computer system?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.5138
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.5812
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What kinds of user interactions are typically monitored and modeled within adaptive interactive systems?,0.4142
