,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main entities involved in user-system interaction in HCI?,0.6439
1,What is an interactive software system?,What are the main entities involved in user-system interaction in HCI?,0.6141
2,What is a complex interactive computer system?,What are the main entities involved in user-system interaction in HCI?,0.6537
3,What does make up the user interface of an interactive computer system?,What are the main entities involved in user-system interaction in HCI?,0.7085
4,What is a User?,What are the main entities involved in user-system interaction in HCI?,0.3773
5,How can a user interact in human–computer interactions?,What are the main entities involved in user-system interaction in HCI?,0.6657
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main entities involved in user-system interaction in HCI?,0.5723
7,Why does a user intentionally interact with an interactive computer system?,What are the main entities involved in user-system interaction in HCI?,0.6199
8,What does make up a complex user participation?,What are the main entities involved in user-system interaction in HCI?,0.5375
9,What is a human–computer interaction?,What are the core concepts in the Human-Computer Interaction (HCI) domain?,0.7164
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the main entities involved in user-system interaction in HCI?,0.4941
11,How is a user input processed by an interactive computer system?,What are the main entities involved in user-system interaction in HCI?,0.5758
12,How does a user receive an output from an interactive computer system?,What are the main entities involved in user-system interaction in HCI?,0.5219
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main entities involved in user-system interaction in HCI?,0.5734
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core concepts in the Human-Computer Interaction (HCI) domain?,0.485
