,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.6159
1,What is an interactive software system?,How do ontologies facilitate adaptive interactive systems?,0.5643
2,What is a complex interactive computer system?,What are the core concepts involved in human-computer interaction (HCI)?,0.6351
3,What does make up the user interface of an interactive computer system?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.6772
4,What is a User?,What are the different types of user profiles that can be modeled in an HCI ontology?,0.4015
5,How can a user interact in human–computer interactions?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.711
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do physical and cognitive abilities of users affect interaction with computer systems?,0.6353
7,Why does a user intentionally interact with an interactive computer system?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.643
8,What does make up a complex user participation?,What are the core concepts involved in human-computer interaction (HCI)?,0.4781
9,What is a human–computer interaction?,What are the core concepts involved in human-computer interaction (HCI)?,0.7528
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do physical and cognitive abilities of users affect interaction with computer systems?,0.5351
11,How is a user input processed by an interactive computer system?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.5582
12,How does a user receive an output from an interactive computer system?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.5008
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.5555
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How do physical and cognitive abilities of users affect interaction with computer systems?,0.5123
