,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main types of interaction components in an HCI system?,0.5489
1,What is an interactive software system?,What are the main types of interaction components in an HCI system?,0.4786
2,What is a complex interactive computer system?,What are the main types of interaction components in an HCI system?,0.6091
3,What does make up the user interface of an interactive computer system?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.6547
4,What is a User?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.4034
5,How can a user interact in human–computer interactions?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.6407
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.5035
7,Why does a user intentionally interact with an interactive computer system?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.4928
8,What does make up a complex user participation?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.4311
9,What is a human–computer interaction?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.5553
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.4725
11,How is a user input processed by an interactive computer system?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.4671
12,How does a user receive an output from an interactive computer system?,What properties define input and output modalities in HCI systems?,0.4387
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What properties define input and output modalities in HCI systems?,0.5079
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary user characteristics relevant for adaptive user interfaces in Human-Computer Interaction?,0.448
