,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key components of an interactive system in the context of human-computer interaction?,0.8258
1,What is an interactive software system?,What are the key components of an interactive system in the context of human-computer interaction?,0.7568
2,What is a complex interactive computer system?,What are the key components of an interactive system in the context of human-computer interaction?,0.7753
3,What does make up the user interface of an interactive computer system?,What are the key components of an interactive system in the context of human-computer interaction?,0.8464
4,What is a User?,How is user behavior modeled within an adaptive interactive system?,0.3344
5,How can a user interact in human–computer interactions?,What are the key components of an interactive system in the context of human-computer interaction?,0.7148
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the key components of an interactive system in the context of human-computer interaction?,0.6717
7,Why does a user intentionally interact with an interactive computer system?,What are the key components of an interactive system in the context of human-computer interaction?,0.6794
8,What does make up a complex user participation?,What are the key components of an interactive system in the context of human-computer interaction?,0.4608
9,What is a human–computer interaction?,What are the key components of an interactive system in the context of human-computer interaction?,0.7302
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the key components of an interactive system in the context of human-computer interaction?,0.4654
11,How is a user input processed by an interactive computer system?,What are the key components of an interactive system in the context of human-computer interaction?,0.711
12,How does a user receive an output from an interactive computer system?,What are the key components of an interactive system in the context of human-computer interaction?,0.5786
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the key components of an interactive system in the context of human-computer interaction?,0.6825
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the key components of an interactive system in the context of human-computer interaction?,0.4871
