,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.5896
1,What is an interactive software system?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.6103
2,What is a complex interactive computer system?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.537
3,What does make up the user interface of an interactive computer system?,"How can user characteristics (e.g., ability to see, to talk, to move) be used to generate an adaptive user interface?",0.6222
4,What is a User?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.3622
5,How can a user interact in human–computer interactions?,"How can user characteristics (e.g., ability to see, to talk, to move) be used to generate an adaptive user interface?",0.5534
6,"Considering intentionality, how can a user interact with an interactive computer system?",How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.5219
7,Why does a user intentionally interact with an interactive computer system?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.5232
8,What does make up a complex user participation?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.4448
9,What is a human–computer interaction?,What are the key components of an interaction ontology in HCI?,0.4897
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.4568
11,How is a user input processed by an interactive computer system?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.5975
12,How does a user receive an output from an interactive computer system?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.4662
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.5769
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How are user modeling algorithms integrated into the framework of adaptive interactive systems?,0.3828
